Article,author 1,add1,add1wt,add2,add2wt,add3,add3wt,add3Mw,PEO rat,PEOMw,PEOwt,temp,temp rat,conduct
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99393691,30,1.5,6.31E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99396019,25.5,1.275,3.98E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99398005,21.1,1.055,2.00E-05
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399,14.4,0.72,0.00001
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399369,11.1,0.555,6.31E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399684,4.78,0.239,3.16E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399842,0.224,0.0112,1.58E-06
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.993999,-5.12,-0.256,0.000001
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.9939995,-9.84,-0.492,5.01E-07
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399975,-15.3,-0.765,2.51E-07
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399992,-19.8,-0.99,7.94E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399997,-24.9,-1.245,3.16E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399998,-29.1,-1.455,1.58E-08
Ion conduction and relaxation in PEO-LiTFSI-Al2O3 polymer nanocomposite electrolytes,S. Das,PEO,99.994,LiTFSI,0.006,,0,1,0.922850116,400000,99.99399999,-34.9,-1.745,5.01E-09
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,100,5,0.398107171
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,94.6,4.73,0.281838293
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,89.3,4.465,0.204173794
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,85.4,4.27,0.144543977
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,80.4,4.02,0.097723722
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,75.4,3.77,0.064565423
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,69.5,3.475,0.039810717
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,64.8,3.24,0.02630268
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,60.3,3.015,0.016595869
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,54.9,2.745,0.009549926
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,50.6,2.53,0.000912011
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,45.5,2.275,0.000165959
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,39.5,1.975,3.55E-05
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,34.7,1.735,6.76E-06
Evaluating the Effects of Temperature and Pressure on Li/PEO-LiTFSI Interfacial Stability and Kinetics,A. Gupta,PEO,99.99282302,LiTFSI,0.007176985,,0,1,0.5,4000000,99.99282302,30,1.5,1.70E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,60.06,0.301886792,100000,99.35446547,69.5,3.475,1.58E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,60.06,0.301886792,100000,99.35446547,59.2,2.96,0.000001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,60.06,0.301886792,100000,99.35446547,49.6,2.48,3.16E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,60.06,0.301886792,100000,99.35446547,44.5,2.225,1.58E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,60.06,0.301886792,100000,99.35446547,32.8,1.64,2.51E-08
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35446547,LiTFSI,0.641805008,urea,0.003729518,60.06,0.301886792,100000,99.35446547,25.5,1.275,0.00000001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,60.06,0.298507463,100000,99.35224226,69.5,3.475,0.00001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,60.06,0.298507463,100000,99.35224226,59.2,2.96,5.01E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,60.06,0.298507463,100000,99.35224226,49.6,2.48,2.51E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,60.06,0.298507463,100000,99.35224226,44.5,2.225,1.26E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,60.06,0.298507463,100000,99.35224226,32.8,1.64,3.16E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35224226,LiTFSI,0.641790647,urea,0.005967096,60.06,0.298507463,100000,99.35224226,25.5,1.275,1.58E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,60.06,0.296296296,100000,99.35076017,69.5,3.475,2.00E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,60.06,0.296296296,100000,99.35076017,59.2,2.96,7.94E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,60.06,0.296296296,100000,99.35076017,49.6,2.48,3.16E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,60.06,0.296296296,100000,99.35076017,44.5,2.225,1.26E-06
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,60.06,0.296296296,100000,99.35076017,32.8,1.64,5.01E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.35076017,LiTFSI,0.641781073,urea,0.007458758,60.06,0.296296296,100000,99.35076017,25.5,1.275,2.00E-07
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,60.06,0.292682927,100000,99.34829012,69.5,3.475,0.000398107
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,60.06,0.292682927,100000,99.34829012,59.2,2.96,0.000251189
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,60.06,0.292682927,100000,99.34829012,49.6,2.48,0.000125893
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,60.06,0.292682927,100000,99.34829012,44.5,2.225,6.31E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,60.06,0.292682927,100000,99.34829012,32.8,1.64,2.51E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.34829012,LiTFSI,0.641765117,urea,0.009944764,60.06,0.292682927,100000,99.34829012,25.5,1.275,0.00001
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,60.06,0.279069767,100000,99.33841115,69.5,3.475,0.000794328
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,60.06,0.279069767,100000,99.33841115,59.2,2.96,0.000630957
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,60.06,0.279069767,100000,99.33841115,49.6,2.48,0.000316228
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,60.06,0.279069767,100000,99.33841115,44.5,2.225,0.000251189
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,60.06,0.279069767,100000,99.33841115,32.8,1.64,7.94E-05
PEO-urea-LiTFSI ternary complex as solid polymer electrolytes,Xiaojing Yan,PEO,99.33841115,LiTFSI,0.641701301,urea,0.01988755,60.06,0.279069767,100000,99.33841115,25.5,1.275,3.98E-05
