Type of salt,"PEO mass per electrolyte 
(g)","salt mass per electrolyte 
(g)",salt wt%,electrolyte thickness (um),"temperature
(Â°C)",ionic conductivity (s/cm),li-ion transfer number,V max (from CV curve),V min (from CV curve),"decomposition temperature 
(thermal stability) (Â°C)"
,,,,,,,,,,
,,,,,,,,,,
LiFSI,0.5,0.1,0.166666667,,25,,,,,
,0.5,0.1,0.166666667,,40,,,,,
,0.5,0.1,0.166666667,,65,,,,,
,0.5,0.1,0.166666667,,80,,,,,
,0.5,0.1,0.166666667,,100,,,,,
,0.5,0.2,0.285714286,,25,,,,,
,0.5,0.2,0.285714286,,40,,,,,
,0.5,0.2,0.285714286,,65,,,,,
,0.5,0.2,0.285714286,,80,,,,,
,0.5,0.2,0.285714286,,100,,,,,
,0.5,0.3,0.375,,25,,,,,
,0.5,0.3,0.375,,40,,,,,
,0.5,0.3,0.375,,65,,,,,
,0.5,0.3,0.375,,80,,,,,
,0.5,0.3,0.375,,100,,,,,
,0.5,0.4,0.444444444,,25,,,,,
,0.5,0.4,0.444444444,,40,,,,,
,0.5,0.4,0.444444444,,65,,,,,
,0.5,0.4,0.444444444,,80,,,,,
,0.5,0.4,0.444444444,,100,,,,,
,0.5,0.5,0.5,,25,,,,,
,0.5,0.5,0.5,,40,,,,,
,0.5,0.5,0.5,,65,,,,,
,0.5,0.5,0.5,,80,,,,,
,0.5,0.5,0.5,,100,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,10^-4,0.5, 5V,, 200°C
